               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.034487,            0.024444,           0.0034029,             0.87056,             0.66321,             0.72868,             0.39561,            0.032533,            0.017356,           0.0021955,            0.006667,            0.006667,            0.006667
                 103,            0.034346,            0.024208,           0.0034775,             0.87052,             0.66307,             0.72864,             0.39607,            0.032521,            0.017349,           0.0021923,            0.006634,            0.006634,            0.006634
                 104,             0.03431,             0.02422,           0.0034026,             0.87154,              0.6613,              0.7291,             0.39583,            0.032505,             0.01734,           0.0021881,            0.006601,            0.006601,            0.006601
                 105,            0.034274,            0.024071,           0.0033765,             0.87098,              0.6635,             0.72915,             0.39608,            0.032486,            0.017334,           0.0021845,            0.006568,            0.006568,            0.006568
                 106,            0.034348,            0.024172,           0.0033603,             0.87492,             0.66079,             0.72923,             0.39619,            0.032473,            0.017328,           0.0021804,            0.006535,            0.006535,            0.006535
                 107,             0.03438,            0.024287,           0.0033749,             0.87559,             0.66116,             0.72994,             0.39655,            0.032456,            0.017321,           0.0021766,            0.006502,            0.006502,            0.006502
                 108,            0.034252,            0.024029,           0.0033517,             0.87624,             0.66143,             0.73036,             0.39699,            0.032438,            0.017314,           0.0021731,            0.006469,            0.006469,            0.006469
                 109,             0.03429,            0.024209,           0.0033147,              0.8756,             0.66119,             0.73044,             0.39715,            0.032421,            0.017307,           0.0021696,            0.006436,            0.006436,            0.006436
                 110,            0.034275,            0.024231,           0.0034256,             0.87436,             0.66171,             0.73104,             0.39808,            0.032403,              0.0173,           0.0021669,            0.006403,            0.006403,            0.006403
                 111,             0.03425,             0.02402,           0.0033304,             0.87389,             0.66187,             0.73118,             0.39878,            0.032388,            0.017292,           0.0021633,             0.00637,             0.00637,             0.00637
                 112,            0.034262,            0.024136,           0.0033262,             0.86873,             0.66364,             0.73117,             0.39828,            0.032373,            0.017286,           0.0021599,            0.006337,            0.006337,            0.006337
                 113,            0.034273,            0.024082,           0.0034057,             0.86731,             0.66395,             0.73173,             0.39863,            0.032355,             0.01728,           0.0021565,            0.006304,            0.006304,            0.006304
                 114,            0.034157,            0.024155,           0.0033393,             0.86598,             0.66445,             0.73165,             0.39851,             0.03234,            0.017273,           0.0021528,            0.006271,            0.006271,            0.006271
                 115,            0.034249,            0.024166,           0.0033786,             0.86704,             0.66472,             0.73193,             0.39856,            0.032323,            0.017266,           0.0021505,            0.006238,            0.006238,            0.006238
                 116,            0.034207,            0.024083,           0.0032885,             0.86886,             0.66526,             0.73227,             0.39869,            0.032309,            0.017258,           0.0021482,            0.006205,            0.006205,            0.006205
                 117,            0.034009,            0.023995,           0.0032845,             0.86539,             0.66782,             0.73247,             0.39933,            0.032292,            0.017249,           0.0021458,            0.006172,            0.006172,            0.006172
                 118,            0.034042,            0.024018,           0.0032352,             0.86629,             0.66885,              0.7329,             0.40004,             0.03228,            0.017241,           0.0021429,            0.006139,            0.006139,            0.006139
                 119,               0.034,            0.023957,           0.0032962,             0.86727,             0.66904,             0.73321,             0.40005,            0.032266,            0.017235,           0.0021398,            0.006106,            0.006106,            0.006106
                 120,            0.034032,            0.024196,           0.0033083,              0.8652,             0.66969,             0.73304,             0.40037,            0.032248,            0.017227,            0.002136,            0.006073,            0.006073,            0.006073
                 121,            0.033997,            0.023962,           0.0032872,             0.86563,             0.66976,             0.73377,             0.40078,            0.032235,            0.017222,           0.0021335,             0.00604,             0.00604,             0.00604
                 122,            0.034096,            0.023909,           0.0033023,             0.86296,             0.67119,             0.73392,             0.40051,            0.032221,            0.017215,           0.0021302,            0.006007,            0.006007,            0.006007
                 123,            0.034005,            0.024003,           0.0032736,             0.86369,             0.67147,             0.73368,             0.40118,            0.032204,            0.017208,           0.0021268,            0.005974,            0.005974,            0.005974
                 124,            0.033844,            0.023842,           0.0032178,             0.86748,             0.66843,             0.73375,             0.40149,            0.032191,            0.017203,            0.002124,            0.005941,            0.005941,            0.005941
                 125,            0.034012,            0.023831,           0.0032587,             0.86594,             0.66888,              0.7337,             0.40184,            0.032171,            0.017196,           0.0021207,            0.005908,            0.005908,            0.005908
                 126,            0.033862,            0.023999,           0.0032371,             0.87026,             0.66584,             0.73316,             0.40133,            0.032157,             0.01719,           0.0021179,            0.005875,            0.005875,            0.005875
                 127,            0.033892,            0.023871,           0.0032181,             0.86691,             0.66834,             0.73372,             0.40152,            0.032142,            0.017185,           0.0021159,            0.005842,            0.005842,            0.005842
                 128,            0.033849,            0.023859,           0.0032223,             0.86832,             0.66941,             0.73514,             0.40208,            0.032128,             0.01718,           0.0021143,            0.005809,            0.005809,            0.005809
