   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.90528,             0.73458,              0.7824,             0.47567,            0.032636,            0.017055,           0.0013767,             0.01116,                0.01,             0.87191,              0.0005,              3.7113,             0.57811,             0.11168,             0.05057,             0.40837,                0.78,             0.96824,              1.1153,                 0.2,              3.6991,                   0,             0.01538,             0.55868,             0.48169,                   0,             0.10234,             0.49734,                   0,                   0,                   0,                 0.5,             0.95853,                   0,                   0,              2.6438
             0.90474,             0.73703,             0.78955,             0.48295,            0.032703,            0.021085,           0.0014502,             0.01086,                0.01,             0.86951,              0.0005,              3.4242,             0.76099,             0.07948,              0.0499,             0.38621,              0.8746,              1.0936,              1.2911,                 0.2,              3.8565,                   0,             0.01604,             0.51329,             0.46977,                   0,             0.10048,               0.479,                   0,                   0,                   0,                 0.5,             0.86088,                   0,                   0,              2.9686
             0.90889,             0.72918,             0.78431,             0.47134,            0.033573,            0.018354,           0.0016071,              0.0111,             0.01012,             0.88582,             0.00047,              3.3874,              0.7346,             0.09142,             0.05082,             0.42134,             0.92267,                   1,              1.1392,                 0.2,              3.8602,                   0,              0.0155,             0.50285,             0.44749,                   0,             0.09896,             0.45203,                   0,                   0,                   0,                 0.5,             0.92894,                   0,                   0,              2.7343
             0.89592,             0.73332,             0.78094,             0.47842,             0.03613,            0.016632,           0.0012538,             0.00925,                0.01,             0.87259,             0.00041,              3.3554,             0.72622,             0.08997,             0.05564,             0.38212,             0.68938,             0.83106,              1.3864,                 0.2,              3.8602,                   0,             0.01755,             0.44239,             0.44749,                   0,             0.09896,             0.53322,                   0,                   0,                   0,                 0.5,             0.95545,                   0,                   0,               3.017
             0.91715,             0.73088,             0.77958,             0.48102,            0.034297,            0.018141,           0.0015064,             0.01116,                0.01,             0.84561,             0.00052,              3.4659,             0.70352,             0.07815,             0.05081,             0.37592,             0.92804,              1.0862,             0.87367,                 0.2,               4.288,                   0,              0.0174,             0.53015,             0.44749,                   0,             0.09896,             0.46768,                   0,                   0,                   0,                 0.5,             0.98392,                   0,                   0,              3.1298
             0.91144,              0.7321,              0.8009,               0.483,            0.031487,            0.018936,           0.0015182,             0.01105,                0.01,                0.86,              0.0005,              3.3758,             0.73152,             0.09285,             0.04786,             0.40919,              0.8746,             0.99344,              1.2354,                 0.2,              3.8602,                   0,             0.01544,             0.51004,             0.44438,                   0,             0.09954,               0.479,                   0,                   0,                   0,                 0.5,             0.96245,                   0,                   0,              2.8151
             0.89546,             0.73678,             0.78527,             0.47921,            0.037637,            0.020456,           0.0014218,             0.00974,                0.01,             0.82141,             0.00055,              3.3691,             0.63639,             0.10224,             0.05729,             0.43368,             0.70156,                   1,              1.4259,                 0.2,              3.8602,                   0,             0.01644,              0.4581,             0.44517,                   0,             0.10213,             0.51648,                   0,                   0,                   0,                 0.5,             0.95545,                   0,                   0,              3.0679
             0.81241,              0.7255,             0.77203,             0.46172,            0.029163,            0.014832,           0.0022558,             0.00984,                0.01,             0.84049,              0.0005,              3.6047,             0.73152,             0.09728,             0.04745,             0.48803,             0.93474,             0.83175,              1.2386,                 0.2,              3.7535,                   0,             0.01264,             0.49875,             0.44749,                   0,             0.07988,             0.46003,                   0,                   0,                   0,                 0.5,             0.95545,                   0,                   0,              3.5304
             0.91108,             0.73856,             0.79253,             0.48334,            0.030951,             0.01902,           0.0014995,             0.01124,                0.01,             0.86228,              0.0005,              3.4227,             0.73152,             0.09247,             0.04745,             0.41265,             0.87326,              1.0077,              1.2395,                 0.2,              3.8578,                   0,             0.01585,             0.49245,             0.44006,                   0,             0.09875,             0.49155,                   0,                   0,                   0,                 0.5,             0.95601,                   0,                   0,              2.8725
             0.90871,             0.71632,             0.76767,             0.45777,            0.035891,            0.020373,           0.0016179,             0.01257,             0.01148,             0.91041,              0.0005,              4.3135,             0.87244,             0.06824,             0.04745,              0.3701,              0.8746,                   1,              1.0378,                 0.2,              4.6466,                   0,             0.01758,             0.50206,             0.44749,                   0,             0.10197,             0.43892,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.0461
